"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Товары для животных / Кольца для птиц";"2";"2021-09-01";"21,5";"25";"4594";"1210";"187";"4,07";"216";"4,7";"165";"3,59";"76,39";"45";"17";"37,78";"560";"23";"4,11";"2504";"750911";"91519";"10,86";"842430";"100";"100";"750911";"750911";"4462";"2481";"841899";"55,6";"53";"0";"152600";"1060,16";"827";"99";"1029";"325,93";"300";"4,81";"4,94";"4,73";"4,83";"33";"5,37";"53,95"
"Здоровье / Шпатели медицинские";"2";"2020-01-26";"25,5";"29";"1279";"126";"94";"7,35";"152";"11,88";"129";"10,09";"84,87";"208";"40";"19,23";"381";"56";"14,7";"2154";"750390";"293111";"28,09";"1043501";"91,95";"91,95";"689984";"689984";"3277";"1302";"437365";"39,73";"46";"0";"69100";"936,99";"544";"35";"1973";"379,74";"284";"4,88";"4,94";"4,81";"4,86";"7";"11,71";"25,03"
"Товары для животных / Инструменты для вычёсывания животных";"1";"2020-01-25";"21,5";"25";"27002";"4393";"247";"0,91";"347";"1,29";"154";"0,57";"44,38";"761";"57";"7,49";"2177";"92";"4,23";"1842";"748382";"214178";"22,25";"962560";"83,66";"83,48";"626096";"624749";"6477";"4671";"1565808";"72,12";"105";"0";"1937700";"1284,72";"720";"76";"9381";"659,55";"422";"4,76";"4,83";"4,68";"4,71";"15";"8,71";"12,93"
"Аксессуары / Инструменты и запчасти для часов";"1";"2021-01-27";"29,5";"33";"18594";"4773";"327";"1,76";"427";"2,3";"234";"1,26";"54,8";"65";"23";"35,38";"1100";"50";"4,55";"2911";"747548";"97406";"11,53";"844954";"91,34";"90,78";"682810";"678624";"4071";"2284";"665786";"56,1";"42";"0";"69800";"1225,38";"908,5";"72";"1334";"302,64";"188,5";"4,75";"4,76";"4,66";"4,64";"30";"11";"30,89"
"Товары для животных / Изоляторы для генераторов импульсов";"3";"2021-10-27";"21,5";"25";"907";"199";"66";"7,28";"85";"9,37";"55";"6,06";"64,71";"39";"15";"38,46";"110";"16";"14,55";"713";"746990";"163075";"17,92";"910065";"95,36";"94,7";"712330";"707400";"2180";"1630";"2088822";"74,77";"92";"0";"45780";"2493,42";"1657";"321";"7502";"1452,44";"894";"4,94";"5";"4,84";"4,87";"3";"11,36";"14,3"
"Здоровье / Озокерит";"2";"2020-01-25";"31,5";"35";"454";"13";"43";"9,47";"57";"12,56";"39";"8,59";"68,42";"33";"11";"33,33";"96";"16";"16,67";"1127";"746784";"112824";"13,13";"859608";"94,07";"94,07";"702500";"702500";"1750";"1146";"674908";"65,49";"47";"0";"233065";"3174,85";"778";"329";"1403";"763,59";"705";"4,89";"4,94";"4,8";"4,8";"89";"13,07";"38,21"
"Посуда и инвентарь / Прессы для мяса";"2";"2020-01-26";"29,5";"33";"6035";"1372";"71";"1,18";"112";"1,86";"75";"1,24";"66,96";"231";"30";"12,99";"1354";"48";"3,55";"734";"746015";"229234";"23,51";"975249";"83,08";"81,54";"619789";"608301";"1432";"955";"444584";"66,69";"59";"0";"226757";"1870,61";"981";"146";"3600";"1301,95";"1005";"4,68";"4,92";"4,61";"4,81";"7";"11,63";"11,33"
"Красота / Стекловолокно для наращивания ногтей";"1";"2020-02-10";"27,5";"31";"2296";"645";"68";"2,96";"97";"4,22";"85";"3,7";"87,63";"125";"29";"23,2";"432";"42";"9,72";"3684";"745580";"85149";"10,25";"830729";"91,92";"91,92";"685337";"685337";"4926";"1810";"336807";"36,74";"40";"0";"140056";"2113,6";"541";"78";"9597";"481,27";"210";"4,91";"4,93";"4,79";"4,82";"9";"14,98";"22,85"
"Телевизоры и аудиотехника / Музыкальные проигрыватели";"2";"2020-01-25";"27,5";"31";"10924";"1834";"80";"0,73";"115";"1,05";"47";"0,43";"40,87";"359";"18";"5,01";"1276";"32";"2,51";"74";"745373";"335586";"31,05";"1080959";"80";"80";"596298";"596298";"323";"274";"2782639";"84,83";"131";"0";"6865200";"9727,76";"3485";"363";"63401";"13380,6";"4604";"4,6";"4,8";"4,56";"4,73";"7";"4,97";"6,08"
"Ручной инструмент и оснастка / Зажимы для тросов";"2";"2021-12-25";"31,5";"35";"16354";"1951";"434";"2,65";"561";"3,43";"308";"1,88";"54,9";"220";"34";"15,45";"772";"61";"7,9";"3308";"745134";"78167";"9,49";"823301";"92,11";"92,11";"686343";"686343";"5152";"3010";"1213815";"58,42";"47";"0";"168250";"1329,72";"870";"50";"3314";"322,83";"195";"4,89";"4,95";"4,84";"4,87";"5";"7,38";"12,34"
"Автоаксессуары и дополнительное оборудование / Сигнализаторы";"3";"2022-04-26";"26,5";"30";"4408";"1810";"22";"0,5";"34";"0,77";"18";"0,41";"52,94";"89";"10";"11,24";"404";"13";"3,22";"30";"744463";"156915";"17,41";"901378";"100";"100";"744463";"744463";"128";"114";"100852";"89,06";"128";"0";"121375";"2296,26";"1583,5";"236";"114490";"18252,83";"795,5";"4,61";"4,83";"4,59";"4,78";"2";"6,64";"nan"
"Ручной инструмент и оснастка / Ступени";"2";"2022-03-05";"31,5";"35";"3156";"62";"196";"6,21";"245";"7,76";"99";"3,14";"40,41";"98";"13";"13,27";"180";"22";"12,22";"336";"744309";"204384";"21,54";"948693";"100";"100";"744309";"744309";"734";"600";"2127776";"81,74";"66";"0";"304051";"5500,07";"3637,5";"451";"9234";"2659,82";"2149";"4,73";"4,84";"4,68";"4,79";"2";"12,2";"nan"
"Профессиональные музыкальные инструменты / Звукосниматели";"2";"2020-03-25";"28,5";"32";"8554";"1417";"86";"1,01";"105";"1,23";"41";"0,48";"39,05";"179";"18";"10,06";"503";"23";"4,57";"302";"742590";"210211";"22,06";"952801";"100";"100";"742590";"742590";"671";"399";"1832349";"59,46";"67";"0";"345499";"4489,14";"1384";"358";"29385";"5521,34";"2239";"4,66";"4,85";"4,63";"4,78";"4";"18,85";"18,32"
"Спортивный товар / Макивары";"2";"2020-01-25";"27,5";"31";"4498";"945";"72";"1,6";"114";"2,53";"82";"1,82";"71,93";"121";"24";"19,83";"655";"40";"6,11";"301";"742357";"282585";"27,57";"1024942";"69,81";"67,92";"518239";"504209";"553";"328";"937987";"59,31";"55";"0";"181406";"1880,29";"1071";"718";"8731";"2567,51";"2563";"4,76";"4,93";"4,7";"4,83";"8";"9,44";"18,71"
"Товары для взрослых / Бандажи эротик";"2";"2020-01-27";"29,5";"33";"1057";"76";"48";"4,54";"58";"5,49";"38";"3,6";"65,52";"125";"20";"16";"224";"22";"9,82";"887";"741592";"244108";"24,76";"985700";"86,02";"86,02";"637917";"637917";"1261";"590";"505203";"46,79";"43";"0";"524999";"2705,96";"1246";"157";"8983";"1333,97";"817,5";"4,65";"4,94";"4,58";"4,78";"109";"6,58";"24,93"
"Канцелярские товары / Копировальная бумага";"2";"2020-01-25";"24,5";"28";"8245";"2606";"135";"1,64";"193";"2,34";"106";"1,29";"54,92";"202";"28";"13,86";"815";"52";"6,38";"3901";"741297";"64739";"8,03";"806036";"66,67";"66,67";"494223";"494223";"11664";"7135";"4121878";"61,17";"90";"0";"900000";"2839,02";"1081";"113";"3575";"457,43";"294";"4,82";"4,91";"4,77";"4,83";"11";"20,29";"25,07"
"Продукты / Кальмар сушеный";"2";"2020-04-15";"21,5";"25";"1347";"68";"34";"2,52";"88";"6,53";"75";"5,57";"85,23";"62";"17";"27,42";"127";"25";"19,69";"447";"741269";"323324";"30,37";"1064593";"88,61";"88,61";"656838";"656838";"602";"344";"689368";"57,14";"40";"0";"75100";"1213,05";"660";"168";"3401";"1573,12";"1784";"4,47";"4,63";"4,39";"4,53";"21";"5,24";"12,24"
"Красота / Квасцовые камни";"2";"2020-01-25";"32,5";"36";"1873";"82";"105";"5,61";"195";"10,41";"134";"7,15";"68,72";"86";"28";"32,56";"226";"40";"17,7";"1913";"740368";"213375";"22,37";"953743";"95,7";"95,7";"708532";"708532";"1708";"813";"310887";"47,6";"27";"0";"69100";"712,79";"437";"146";"4100";"421,15";"368";"4,77";"4,89";"4,68";"4,78";"12";"9,7";"19,93"
"Товары для животных / Соль для аквариумов";"2";"2020-08-12";"21,5";"25";"350";"71";"28";"8";"41";"11,71";"36";"10,29";"87,8";"29";"7";"24,14";"110";"9";"8,18";"277";"738805";"163388";"18,11";"902193";"100";"100";"738805";"738805";"374";"207";"733430";"55,35";"41";"0";"160600";"3878,97";"1339,5";"379";"17866";"4406,61";"2858,5";"4,9";"4,94";"4,82";"4,88";"0";"0";"0"
"Продукты / Кексы";"2";"2020-01-25";"21,5";"25";"5138";"349";"77";"1,5";"177";"3,44";"136";"2,65";"76,84";"243";"37";"15,23";"437";"58";"13,27";"912";"738640";"469569";"38,86";"1208209";"98,21";"98,21";"725418";"725418";"1804";"1402";"685987";"77,72";"59";"0";"1277370";"4038,86";"1039";"118";"5707";"971,4";"669,5";"4,68";"4,83";"4,62";"4,73";"4";"4,62";"12,12"
"Красота / Палитры для смешивания косметики";"1";"2020-01-27";"27,5";"31";"1848";"301";"144";"7,79";"213";"11,53";"165";"8,93";"77,46";"220";"69";"31,36";"565";"79";"13,98";"4445";"737825";"244389";"24,88";"982214";"83,16";"83,16";"613575";"613575";"5133";"1805";"489329";"35,16";"35";"0";"106709";"1355,08";"566";"82";"3153";"381,12";"291";"4,82";"4,91";"4,76";"4,83";"16";"15,56";"25,37"
"Спортивный товар / Питьевые системы";"2";"2020-01-25";"27,5";"31";"11344";"2602";"132";"1,16";"157";"1,38";"99";"0,87";"63,06";"200";"30";"15";"896";"49";"5,47";"915";"736658";"89833";"10,87";"826491";"88,16";"86,84";"649438";"639714";"2032";"1247";"1338764";"61,37";"67";"0";"1467000";"3459,32";"1427";"420";"3894";"1100,67";"865";"4,78";"4,96";"4,71";"4,86";"10";"9,82";"26,86"
"Электрика / Изоляторы электрические";"1";"2020-06-23";"28,5";"32";"6116";"686";"273";"4,46";"338";"5,53";"174";"2,84";"51,48";"155";"29";"18,71";"446";"40";"8,97";"1697";"735615";"138739";"15,87";"874354";"84,26";"82,99";"619829";"610487";"2759";"1423";"792873";"51,58";"49";"0";"282653";"1365,04";"671,5";"53";"2169";"521,44";"384";"4,84";"4,93";"4,8";"4,86";"6";"9,28";"17,16"
"Аксессуары для электроники / Аксессуары для обогревателей";"3";"2020-11-02";"25,5";"29";"9095";"2766";"96";"1,06";"202";"2,22";"136";"1,5";"67,33";"134";"27";"20,15";"1008";"54";"5,36";"567";"734723";"615927";"45,6";"1350650";"98";"98";"720029";"720029";"659";"300";"476525";"45,52";"35";"0";"170468";"2200,19";"1101";"128";"9624";"1198,46";"538,5";"4,72";"4,75";"4,67";"4,67";"10";"5,78";"14,8"
"Товары для животных / Таблетки для животных";"2";"2020-08-03";"21,5";"25";"777";"194";"39";"5,02";"48";"6,18";"42";"5,41";"87,5";"73";"8";"10,96";"169";"12";"7,1";"1703";"734467";"20274";"2,69";"754741";"100";"100";"734467";"734467";"2913";"1055";"1126665";"36,22";"51";"0";"117450";"1030,97";"424";"218";"6184";"1083,5";"462";"4,84";"5";"4,79";"4,92";"44";"15,9";"33,47"
"Красота / Иглы для тату";"1";"2021-02-15";"32,5";"36";"6134";"2127";"237";"3,86";"346";"5,64";"249";"4,06";"71,97";"127";"43";"33,86";"498";"39";"7,83";"1551";"734104";"359825";"32,89";"1093929";"91";"91";"668035";"668035";"3827";"2216";"993156";"57,9";"74";"0";"106709";"1061,26";"667";"64";"2215";"450,47";"403";"4,77";"4,89";"4,72";"4,81";"2";"5,32";"9,37"
"Канцелярские товары / Нити для прошивки документов";"2";"2020-03-02";"29,5";"33";"3395";"112";"125";"3,68";"165";"4,86";"93";"2,74";"56,36";"102";"29";"28,43";"388";"40";"10,31";"1933";"732942";"49248";"6,3";"782190";"88,5";"88,24";"648654";"646748";"3667";"1690";"430951";"46,09";"57";"0";"342999";"1726,17";"799";"82";"3312";"469,15";"271";"4,85";"4,94";"4,81";"4,86";"13";"6,59";"21,9"
"Сантехника / Ножки для ванн";"2";"2021-05-20";"27,5";"31";"757";"127";"19";"2,51";"36";"4,76";"29";"3,83";"80,56";"63";"17";"26,98";"165";"20";"12,12";"438";"730618";"22830";"3,03";"753448";"83,33";"83,33";"608824";"608824";"408";"57";"62875";"13,97";"28";"0";"78764";"2737,72";"1827";"186";"4788";"1408,69";"1354";"4,62";"4,81";"4,54";"4,71";"4";"6,91";"6,16"
"Продукты / Заменители сухих сливок";"2";"2020-01-25";"21,5";"25";"496";"26";"34";"6,85";"70";"14,11";"54";"10,89";"77,14";"64";"15";"23,44";"113";"23";"20,35";"909";"730386";"569779";"43,82";"1300165";"100";"100";"730386";"730386";"841";"468";"544060";"55,65";"28";"0";"75100";"2037,52";"928";"196";"6111";"1482,69";"666,5";"4,76";"4,86";"4,69";"4,79";"93";"12,9";"37,72"
"Спортивные аксессуары / Пояса разогревочные";"2";"2020-01-25";"29,5";"33";"2731";"873";"40";"1,46";"58";"2,12";"50";"1,83";"86,21";"61";"20";"32,79";"372";"26";"6,99";"985";"729775";"131336";"15,25";"861111";"66,67";"66,67";"486541";"486541";"2948";"1926";"987867";"65,33";"90";"0";"60800";"1972,16";"1426";"258";"1611";"751,06";"637";"4,71";"4,85";"4,62";"4,77";"1";"4,83";"nan"
"Бытовая техника / Термостаты комнатные";"2";"2020-11-06";"25,5";"29";"19914";"2897";"190";"0,95";"301";"1,51";"190";"0,95";"63,12";"242";"48";"19,83";"1187";"64";"5,39";"788";"728500";"712577";"49,45";"1441077";"85,8";"84,57";"625053";"616092";"1562";"1122";"1604429";"71,83";"59";"0";"187798";"2288,07";"1355";"117";"11325";"1051,9";"290";"4,73";"4,87";"4,66";"4,74";"5";"4,08";"7,76"
"Игрушки / Диафильмы";"2";"2020-01-25";"28,5";"32";"1134";"311";"52";"4,59";"56";"4,94";"43";"3,79";"76,79";"20";"5";"25";"112";"6";"5,36";"568";"728374";"38038";"4,96";"766412";"100";"100";"728374";"728374";"1543";"873";"938951";"56,58";"81";"0";"288116";"14157,89";"1394";"284";"2868";"1267,09";"1033";"4,91";"5";"4,84";"4,92";"nan";"nan";"nan"
"Отделочные материалы / Краски специальные";"3";"2020-06-17";"28,5";"32";"13600";"2805";"60";"0,44";"76";"0,56";"54";"0,4";"71,05";"370";"31";"8,38";"631";"32";"5,07";"1070";"725542";"51902";"6,68";"777444";"90,6";"90,6";"657341";"657341";"1860";"1334";"1796685";"71,72";"52";"0";"372400";"4136,04";"1244";"193";"9870";"1596,46";"872";"4,73";"4,76";"4,66";"4,64";"10";"8,03";"11,9"
"Аксессуары / Чехлы для камер";"2";"2020-01-25";"34,5";"38";"25918";"9596";"151";"0,58";"193";"0,74";"117";"0,45";"60,62";"97";"20";"20,62";"445";"32";"7,19";"855";"725424";"299208";"29,2";"1024632";"82,61";"80,43";"599273";"583459";"1487";"780";"797872";"52,45";"52";"0";"69800";"1502,3";"1361";"205";"13745";"1439,25";"929";"4,74";"4,94";"4,69";"4,84";"5";"7,06";"14,64"
"Автоаксессуары и дополнительное оборудование / Комплекты электрики для фаркопов";"2";"2020-06-05";"26,5";"30";"1626";"334";"92";"5,66";"116";"7,13";"86";"5,29";"74,14";"76";"19";"25";"241";"25";"10,37";"876";"725062";"52997";"6,81";"778059";"71,43";"68,57";"517912";"497175";"1374";"747";"608464";"54,37";"47";"0";"65947";"2945,55";"895";"104";"6285";"1215,51";"678,5";"4,81";"4,98";"4,74";"4,89";"3";"6,4";"10,64"
"Товары для малышей / Стопомеры";"2";"2020-04-01";"26,5";"30";"1358";"326";"77";"5,67";"99";"7,29";"79";"5,82";"79,8";"105";"29";"27,62";"250";"35";"14";"2455";"723367";"477474";"39,76";"1200841";"100";"100";"723367";"723367";"2644";"956";"409152";"36,16";"32";"0";"80032";"1105,13";"585";"131";"2746";"408,67";"303";"4,84";"4,97";"4,75";"4,85";"21";"18,51";"24,79"
"Фото и Видеотехника / Карты видеозахвата";"2";"2020-11-22";"27,5";"31";"3283";"782";"30";"0,91";"57";"1,74";"46";"1,4";"80,7";"73";"19";"26,03";"326";"25";"7,67";"314";"722484";"184822";"20,37";"907306";"100";"100";"722484";"722484";"423";"263";"746054";"62,17";"40";"0";"284483";"5760,69";"1077";"451";"29796";"2945,5";"1424";"4,6";"4,61";"4,56";"4,55";"1";"4,71";"4,55"
"Все для садоводства / Аксессуары для пруда";"3";"2020-05-30";"29,5";"29,5";"19340";"5479";"173";"0,89";"223";"1,15";"130";"0,67";"58,3";"227";"36";"15,86";"820";"42";"5,12";"911";"721899";"735544";"50,47";"1457443";"100";"100";"721899";"721899";"2338";"1772";"1065475";"75,79";"77";"0";"626328";"3351,78";"1393";"101";"55170";"1479,15";"395,5";"4,62";"4,78";"4,56";"4,66";"2";"5,4";"4,42"
"Декор интерьера / Муляжи книг";"2";"2021-05-05";"29,5";"33";"27435";"1683";"157";"0,57";"228";"0,83";"156";"0,57";"68,42";"73";"11";"15,07";"451";"22";"4,88";"1264";"721730";"903688";"55,6";"1625418";"100";"100";"721730";"721730";"1997";"1236";"674985";"61,89";"47";"0";"89124";"2137,96";"1838";"176";"3465";"598,79";"544";"4,81";"4,91";"4,74";"4,77";"15";"5,55";"22,41"
"Аксессуары для электроники / Цифровые ручки";"3";"2020-03-02";"19,5";"23";"6111";"1347";"7";"0,11";"15";"0,25";"13";"0,21";"86,67";"32";"5";"15,62";"267";"6";"2,25";"143";"721489";"168623";"18,94";"890112";"62,5";"62,5";"450931";"450931";"116";"2";"3230";"1,72";"24";"0";"392157";"2788,44";"988";"2330";"22246";"6420,92";"3669";"4,46";"4,89";"4,44";"4,79";"19";"4,35";"1,31"
"Все для садоводства / Мульча";"2";"2020-01-25";"29,5";"29,5";"8379";"1920";"190";"2,27";"404";"4,82";"292";"3,48";"72,28";"457";"73";"15,97";"1502";"101";"6,72";"1596";"721125";"140659";"16,32";"861784";"93,78";"93,51";"676271";"674324";"2093";"1666";"1031881";"79,6";"39";"0";"900000";"2123,21";"848";"61";"4467";"599,54";"521";"4,79";"4,9";"4,69";"4,77";"36";"9,58";"16,11"
"Аксессуары / Темляки";"2";"2020-01-25";"34,5";"38";"21459";"5821";"463";"2,16";"649";"3,02";"374";"1,74";"57,63";"110";"37";"33,64";"496";"65";"13,1";"1646";"720631";"408473";"36,18";"1129104";"80,43";"78,26";"579604";"563966";"3885";"2442";"955599";"62,86";"71";"0";"660264";"4237,06";"663";"92";"5688";"568,35";"427";"4,9";"4,94";"4,85";"4,87";"5";"4,83";"9,37"
"Автохимия и автокосметика / Герметики автомобильные";"2";"2020-07-19";"26,5";"30";"29847";"6491";"327";"1,1";"645";"2,16";"397";"1,33";"61,55";"538";"104";"19,33";"1935";"197";"10,18";"1541";"719954";"187902";"20,7";"907856";"90,43";"89,57";"651054";"644863";"2320";"1259";"741465";"54,27";"45";"0";"66300";"941,41";"657";"83";"10179";"639,13";"431";"4,73";"4,88";"4,67";"4,77";"6";"7,22";"11,6"
"Автозапчасти / Краны запорные автомобильные";"2";"2021-04-25";"26,5";"30";"6129";"419";"244";"3,98";"397";"6,48";"237";"3,87";"59,7";"324";"69";"21,3";"512";"108";"21,09";"900";"719860";"178854";"19,9";"898714";"88,98";"87,71";"640531";"631389";"1394";"763";"848083";"54,73";"46";"0";"128414";"4506,86";"2442";"139";"9548";"1246,14";"676";"4,63";"4,82";"4,57";"4,69";"4";"6,99";"13,52"
"Автозапчасти / Шатуны автомобильные";"3";"2022-01-06";"26,5";"30";"3709";"379";"123";"3,32";"155";"4,18";"70";"1,89";"45,16";"205";"28";"13,66";"378";"45";"11,9";"337";"719734";"37542";"4,96";"757276";"68,93";"66,99";"496113";"482150";"610";"375";"744298";"61,48";"54";"0";"390600";"4863,47";"3261";"192";"8707";"2702,66";"2303";"4,49";"4,6";"4,46";"4,54";"3";"5,91";"10,15"
"Товары для малышей / Термосумки для бутылочек";"1";"2020-01-25";"26,5";"30";"6731";"909";"175";"2,6";"224";"3,33";"145";"2,15";"64,73";"262";"33";"12,6";"871";"48";"5,51";"1811";"719015";"74816";"9,42";"793831";"84,67";"83,33";"608790";"599155";"4414";"2613";"1080134";"59,2";"73";"0";"664266";"5292,71";"1088";"189";"11331";"617,46";"444";"4,42";"4,55";"4,35";"4,45";"16";"7,45";"20,36"
"Товары для малышей / Москитные сетки на коляску";"3";"2020-01-25";"21,5";"25";"6643";"1156";"312";"4,7";"385";"5,8";"196";"2,95";"50,91";"471";"74";"15,71";"995";"81";"8,14";"1815";"718756";"1756645";"70,96";"2475401";"90,52";"90,52";"650618";"650618";"17036";"14850";"5114157";"87,17";"282";"0";"900000";"1685,55";"939";"53";"14826";"782,94";"326,5";"4,76";"4,93";"4,68";"4,82";"6";"7,57";"9,71"
"Фото и Видеотехника / Реквизит для фотографа";"2";"2020-07-27";"27,5";"31";"43300";"8365";"155";"0,36";"259";"0,6";"155";"0,36";"59,85";"266";"38";"14,29";"1488";"56";"3,76";"570";"716770";"1034155";"59,06";"1750925";"80,88";"79,41";"579724";"569187";"792";"444";"744850";"56,06";"42";"0";"1129868";"3805,53";"1802,5";"140";"16362";"1885,8";"876";"4,63";"4,61";"4,59";"4,54";"3";"5,96";"9,94"
"Сантехника / Ручки для смесителей";"1";"2020-06-16";"27,5";"31";"8360";"1739";"190";"2,27";"332";"3,97";"242";"2,89";"72,89";"213";"52";"24,41";"776";"74";"9,54";"2194";"716525";"128274";"15,18";"844799";"84,07";"80,53";"602383";"577018";"2107";"996";"501107";"47,27";"29";"0";"250767";"1985,07";"940";"75";"2922";"372,93";"347";"4,75";"4,9";"4,66";"4,76";"3";"8,7";"14,37"
"Автозапчасти / Тормозные шланги";"2";"2021-05-05";"26,5";"30";"98688";"8156";"1017";"1,03";"1247";"1,26";"448";"0,45";"35,93";"482";"97";"20,12";"670";"122";"18,21";"1361";"716461";"39173";"5,18";"755634";"84,83";"84,55";"607774";"605768";"2518";"1679";"1346575";"66,68";"56";"0";"426614";"1378,56";"1119,5";"73";"9150";"790,27";"520,5";"4,83";"4,88";"4,8";"4,82";"3";"6,5";"10,35"
"Фото и Видеотехника / Передатчики видеосигнала";"2";"2020-09-21";"28,5";"32";"3942";"886";"56";"1,42";"85";"2,16";"56";"1,42";"65,88";"97";"11";"11,34";"324";"14";"4,32";"419";"716350";"162370";"18,48";"878720";"91,67";"91,67";"656678";"656678";"1277";"898";"496483";"70,32";"91";"0";"750707";"4513,86";"1701";"129";"10551";"1147,2";"298,5";"4,67";"4,8";"4,62";"4,69";"1";"11,41";"12,39"
"Посуда и инвентарь / Пипетки кулинарные";"2";"2020-05-08";"29,5";"33";"1516";"355";"53";"3,5";"74";"4,88";"65";"4,29";"87,84";"76";"17";"22,37";"260";"27";"10,38";"2872";"716297";"99297";"12,17";"815594";"88,17";"88,17";"631559";"631559";"2491";"724";"206778";"29,06";"26";"0";"21437";"897,02";"612,5";"110";"2034";"332,57";"242";"4,86";"4,82";"4,79";"4,75";"30";"17,12";"39,78"
"Мебель офисная и торговое оборудование / Шканты мебельные";"1";"2021-10-30";"26,5";"30";"3781";"676";"220";"5,82";"322";"8,52";"238";"6,29";"73,91";"125";"34";"27,2";"573";"56";"9,77";"3937";"716261";"115325";"13,87";"831586";"91,26";"91,05";"653660";"652156";"4407";"1981";"766897";"44,95";"34";"0";"106950";"1872,47";"817";"67";"5155";"464";"217,5";"4,89";"4,93";"4,83";"4,85";"14";"7,47";"18,16"
"Товары для животных / Суспензии для животных";"2";"2020-02-26";"21,5";"25";"1073";"284";"26";"2,42";"45";"4,19";"35";"3,26";"77,78";"45";"10";"22,22";"193";"17";"8,81";"1168";"715683";"214546";"23,06";"930229";"87,91";"87,91";"629157";"629157";"1516";"381";"242222";"25,13";"39";"0";"77100";"2457,17";"3086";"135";"3647";"882,49";"548";"4,85";"4,94";"4,77";"4,83";"15";"25,69";"47,39"
"Рукоделие / Этюдники";"3";"2020-05-31";"29,5";"33";"3052";"642";"46";"1,51";"63";"2,06";"32";"1,05";"50,79";"49";"11";"22,45";"238";"18";"7,56";"528";"715594";"507512";"41,49";"1223106";"83,18";"82,24";"595231";"588505";"285";"112";"644522";"39,3";"16";"0";"560224";"4972";"1236";"318";"10024";"3487,72";"2837";"4,63";"4,83";"4,57";"4,78";"24";"5,04";"12,31"
"Спортивный товар / Джиг-головки рыболовные";"2";"2020-04-10";"27,5";"31";"17832";"1911";"901";"5,05";"1135";"6,36";"470";"2,64";"41,41";"200";"52";"26";"347";"54";"15,56";"2484";"714777";"136481";"16,03";"851258";"100";"100";"714777";"714777";"5920";"3768";"1454996";"63,65";"71";"0";"1124268";"739,48";"424";"118";"1742";"385,31";"319";"4,89";"4,93";"4,84";"4,84";"5";"4,21";"14,35"
"Красота / Станки для педикюра";"1";"2020-01-25";"32,5";"36";"3358";"877";"52";"1,55";"97";"2,89";"67";"2";"69,07";"147";"33";"22,45";"556";"52";"9,35";"2016";"714022";"103948";"12,71";"817970";"94,31";"94,31";"673394";"673394";"1292";"353";"132826";"27,32";"19";"0";"320128";"4873,76";"691";"41";"8815";"494,27";"342";"4,63";"4,84";"4,53";"4,68";"9";"12,56";"25,26"
"Сантехника / Ленты и нити уплотнительные";"1";"2021-12-24";"27,5";"31";"10528";"1979";"279";"2,65";"390";"3,7";"229";"2,18";"58,72";"376";"68";"18,09";"986";"103";"10,45";"3619";"713507";"69924";"8,93";"783431";"96,4";"96,4";"687821";"687821";"5080";"2211";"772475";"43,52";"42";"0";"62999";"833,49";"586";"53";"2195";"316,66";"233";"4,79";"4,88";"4,73";"4,78";"5";"7,86";"17,17"
"Товары для малышей / Слингомайки";"2";"2020-01-25";"26,5";"30";"740";"359";"21";"2,84";"21";"2,84";"14";"1,89";"66,67";"10";"3";"30";"195";"3";"1,54";"239";"713194";"1667";"0,23";"714861";"52,17";"37,2";"372073";"265308";"291";"71";"174393";"24,4";"37";"192";"136055";"2021,73";"1332,5";"1811";"5632";"3217,5";"3124";"4,77";"5";"4,71";"4,82";"32";"7,45";"17,96"
"Товары для животных / Ринговки для собак";"1";"2020-01-25";"21,5";"25";"27271";"8310";"534";"1,96";"609";"2,23";"331";"1,21";"54,35";"89";"24";"26,97";"798";"28";"3,51";"1354";"712803";"124899";"14,91";"837702";"90,32";"89,61";"643804";"638743";"3536";"2133";"1418775";"60,32";"78";"0";"261438";"1304,3";"926";"155";"3041";"738,9";"593";"4,78";"4,86";"4,71";"4,78";"4";"7,22";"23,14"
